9601,JingleJamCookie,ジングルジャムクッキー,Other
9602,FoodRation,レーション,Other
9603,CavelingCrunch,洞窟クランチ,Potion
9604,GlazedHeartberry,シロップがけハートベリー,Potion
9605,TentacleJerky,触手ジャーキー,Potion
9606,ChewyConeCandy,噛みごたえのあるコーンキャンディ,Potion
9607,SpookyPopCandy,不気味なポップキャンディ,Season
9608,EvilEyeCandy,イビルアイキャンディ,Season
9609,FruitBread,フルーツパン,Season
9610,WinterDinner,冬のディナー,Season
9612,HotChocolate,ホットチョコレート,Season
9613,WinterCookies,冬のクッキー,Season
9614,GoldenChocolate,ゴールデンチョコレート,Season
9615,BoxOfChocolates,チョコレートボックス,Season
9617,KelpDumpling,海草だんご,Season